"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded","BlocksExpanded","NeighbourVisits"
"Map 1","BlockAStar","13.40288","7.585024","284.5114319325","334.3187166524","3595","608","43140"
"Map 2","BlockAStar","274.33216","5.445888","288.4399147034","584.1133341669","5473","906","65676"
"Map 3","BlockAStar","6.147072","243.347968","293.3357497454","808.3941420639","11465","1837","137580"
"Map 4","BlockAStar","6.249216","11.75296","297.2810031176","650.3699968492","11373","1875","136476"
"Map 5","BlockAStar","255.552768","15.61216","289.9398988485","875.2486617695","14207","2279","170484"
"Map 6","BlockAStar","6.69184","229.017088","288.9377448559","504.4210882987","8950","1406","107400"
"Map 7","BlockAStar","6.694912","7.682048","287.6316570044","769.4679096088","10400","1643","124800"
"Map 8","BlockAStar","293.606144","3.461888","285.5843455791","464.1287507445","4005","660","48060"
"Map 10","BlockAStar","372.046848","13.510912","288.2546274662","768.5089791577","9613","1530","115356"
"Map 12","BlockAStar","279.561216","15.52","288.0774077177","783.2384680255","11722","1860","140664"
"Map 13","BlockAStar","281.949952","7.12704","288.1179498434","742.0191026765","7355","1170","88260"
"Map 14","BlockAStar","6.861056","9.658112","289.4409447908","820.108370501","11050","1774","132600"
"Map 15","BlockAStar","231.816192","11.357952","291.6021848917","946.695291567","13001","2071","156012"
"Map 17","BlockAStar","7.617024","5.849088","285.9629244804","508.8889810037","6497","1069","77964"
"Map 18","BlockAStar","270.094848","16.269056","292.0998405218","951.5674826499","18383","2890","220596"
"Map 19","BlockAStar","7.276032","253.153792","289.3871639967","821.1596180975","10180","1601","122160"
"Map 20","BlockAStar","7.021056","7.973888","288.0432325602","581.9847456065","9938","1564","119256"
"Map 22","BlockAStar","7.0208","15.826176","289.5458217859","547.7690627342","14566","2306","174792"
"Map 23","BlockAStar","280.277248","5.24288","284.5114325285","311.6988649859","6608","1022","79296"
"Map 24","BlockAStar","6.996992","8.478976","287.0683101416","675.2829838244","11050","1726","132600"
"Map 25","BlockAStar","252.617984","4.79488","286.5868223906","460.9489000986","6062","981","72744"
"Map 26","BlockAStar","6.585856","240.673024","290.3248449564","710.5037623613","8136","1321","97632"
"Map 27","BlockAStar","63.780096","5.721856","289.8434708118","757.274208098","7180","1154","86160"
"Map 28","BlockAStar","6.764032","73.667072","287.3706127405","590.5191463386","4992","822","59904"
"Map 30","BlockAStar","6.172928","66.95296","289.5462259054","745.3634904114","8957","1425","107484"
"Map 31","BlockAStar","72.132096","7.408896","286.3739792109","564.6732896794","8772","1346","105264"
"Map 32","BlockAStar","6.226944","264.352","288.2232301235","589.99352737","6847","1153","82164"
"Map 33","BlockAStar","6.298112","7.43296","294.8396683931","810.7334522455","9917","1598","119004"
"Map 35","BlockAStar","57.662208","8.102912","292.5154560804","1177.9797903925","10664","1791","127968"
"Map 36","BlockAStar","79.843072","14.394112","294.797450304","962.3576344222","20419","3262","245028"
"Map 37","BlockAStar","6.238976","3.830784","285.5843435526","512.3085398122","5599","894","67188"
"Map 38","BlockAStar","428.737024","6.036992","286.9597657919","642.1185413041","8578","1327","102936"
"Map 40","BlockAStar","237.030144","9.451008","286.973529458","453.5841876613","11065","1768","132780"
"Map 42","BlockAStar","256.477952","12.275968","289.9986900091","539.6389495133","17743","2750","212916"
"Map 43","BlockAStar","6.178048","5.026048","285.3905279636","459.1784398729","5657","914","67884"
"Map 44","BlockAStar","286.603008","7.20896","289.6396217346","648.8392604825","8792","1438","105504"
"Map 46","BlockAStar","117.455872","10.725888","289.2734473944","476.3253261107","10558","1657","126696"
"Map 47","BlockAStar","9.424896","9.865984","288.5022237301","693.2384728551","9779","1537","117348"
"Map 48","BlockAStar","269.816064","22.388992","292.3114101887","951.4058339052","15967","2647","191604"
"Map 49","BlockAStar","79.462912","12.873984","293.8854520321","646.4247925089","17402","2849","208824"
"Map 51","BlockAStar","107.540992","8.84096","285.2952229977","440.7434898425","5617","890","67404"
"Map 52","BlockAStar","7.087872","4.141056","285.3995790482","418.8889967001","5417","858","65004"
"Map 53","BlockAStar","76.918016","7.919104","287.6074575186","572.5636669672","7948","1285","95376"
"Map 54","BlockAStar","6.490112","5.51808","293.8000999689","534.6886990125","7994","1279","95928"
"Map 55","BlockAStar","73.590016","5.671936","285.760058403","521.6083002757","7875","1227","94500"
"Map 56","BlockAStar","6.459904","50.678016","293.8853588104","967.1865812362","21073","3359","252876"
"Map 57","BlockAStar","72.684032","8.169984","288.6065789461","733.6492547298","9424","1530","113088"
"Map 58","BlockAStar","6.385152","255.823104","293.5442849398","906.5674814424","8145","1332","97740"
"Map 59","BlockAStar","56.31616","7.092992","287.3489017487","555.6594243255","10297","1626","123564"
"Map 60","BlockAStar","260.203008","7.79904","293.0353229046","803.5651964573","10566","1815","126792"
"Map 61","BlockAStar","6.212864","8.772864","291.5079565048","817.7690627342","9919","1655","119028"
"Map 64","BlockAStar","6.124032","72.465152","287.3341577053","472.0190893949","9628","1506","115536"
"Map 65","BlockAStar","73.062912","8.660992","292.8566563129","970.5309943269","12324","1958","147888"
"Map 66","BlockAStar","323.258112","14.626048","288.987590909","739.8443513174","13284","2142","159408"
"Map 68","BlockAStar","82.18112","11.528192","288.6561701298","610.0343449958","14982","2325","179784"
"Map 69","BlockAStar","6.144","11.23712","290.0106568336","742.9057673021","14962","2391","179544"
"Map 70","BlockAStar","218.756864","17.310976","294.7973690033","759.3276340367","20530","3274","246360"
"Map 71","BlockAStar","77.740032","7.755008","290.9802899361","745.274080929","10811","1727","129732"
"Map 72","BlockAStar","6.72512","6.682112","294.043413043","733.1236297242","8432","1347","101184"
"Map 73","BlockAStar","110.39104","8.210944","287.3515861034","745.6032142704","10814","1734","129768"
"Map 74","BlockAStar","10.73408","99.457024","291.5360901356","689.6543419425","15783","2554","189396"
"Map 75","BlockAStar","69.917952","18.694912","295.2824665308","1012.6169572851","20645","3469","247740"
"Map 76","BlockAStar","230.462976","11.256064","289.8906322718","795.5564231457","14956","2442","179472"
"Map 77","BlockAStar","7.490048","125.24288","289.5453007221","775.755335416","15653","2432","187836"
"Map 78","BlockAStar","10.225152","16.512","289.6081317663","731.4745287265","14715","2315","176580"
"Map 79","BlockAStar","107.76704","9.505024","287.7450625896","694.7691959402","9212","1466","110544"
"Map 80","BlockAStar","6.235136","9.554944","288.8424403667","505.0651250246","13196","2067","158352"
"Map 81","BlockAStar","104.564992","5.236992","286.9644799232","422.0688859834","6894","1097","82728"
"Map 82","BlockAStar","8.6592","76.192","283.7217960358","215.3391866349","3989","635","47868"
"Map 83","BlockAStar","7.165952","3.28192","284.7409278154","374.1287229739","4385","724","52620"
"Map 84","BlockAStar","236.717056","9.099008","288.4037127495","796.0791127178","12783","2044","153396"
"Map 85","BlockAStar","6.388992","237.798144","290.7310955524","1006.7539246429","13114","2124","157368"
"Map 87","BlockAStar","65.85984","4.812032","287.3574303389","735.5380964903","6808","1117","81696"
"Map 88","BlockAStar","6.498048","4.43008","285.3905287981","493.1082541988","5488","908","65856"
"Map 89","BlockAStar","70.891008","14.695936","295.7168816328","706.5615429587","20217","3202","242604"
"Map 90","BlockAStar","72.484096","7.342848","289.3813199997","872.4731191608","10054","1610","120648"
"Map 91","BlockAStar","214.630144","6.055168","290.0844492912","637.6045280601","8720","1442","104640"
"Map 92","BlockAStar","8.045824","3.87712","285.2238633633","312.4642066061","5788","916","69456"
"Map 93","BlockAStar","219.049216","10.3872","288.9132782221","825.8239940148","14110","2208","169320"
"Map 95","BlockAStar","6.098176","5.506048","285.417678833","316.9350154259","8089","1288","97068"
"Map 96","BlockAStar","241.003008","12.148224","289.3727941513","571.0791803332","14246","2263","170952"
"Map 98","BlockAStar","6.247168","4.329984","284.9256925583","422.3085410196","6056","973","72672"
"Map 99","BlockAStar","231.800064","8.075776","289.9180368185","790.8429550333","9959","1617","119508"