"Map","Algorithm","QueueLength"
"Map 1","Dijkstra","216"
"Map 2","Dijkstra","225"
"Map 3","Dijkstra","231"
"Map 4","Dijkstra","235"
"Map 5","Dijkstra","230"
"Map 6","Dijkstra","229"
"Map 7","Dijkstra","226"
"Map 8","Dijkstra","234"
"Map 10","Dijkstra","222"
"Map 12","Dijkstra","225"
"Map 13","Dijkstra","226"
"Map 14","Dijkstra","215"
"Map 15","Dijkstra","206"
"Map 17","Dijkstra","236"
"Map 18","Dijkstra","227"
"Map 19","Dijkstra","221"
"Map 20","Dijkstra","225"
"Map 22","Dijkstra","214"
"Map 23","Dijkstra","225"
"Map 24","Dijkstra","223"
"Map 25","Dijkstra","220"
"Map 26","Dijkstra","227"
"Map 27","Dijkstra","223"
"Map 28","Dijkstra","237"
"Map 30","Dijkstra","220"
"Map 31","Dijkstra","227"
"Map 32","Dijkstra","223"
"Map 33","Dijkstra","218"
"Map 35","Dijkstra","228"
"Map 36","Dijkstra","213"
"Map 37","Dijkstra","217"
"Map 38","Dijkstra","221"
"Map 40","Dijkstra","222"
"Map 42","Dijkstra","218"
"Map 43","Dijkstra","221"
"Map 44","Dijkstra","221"
"Map 46","Dijkstra","218"
"Map 47","Dijkstra","222"
"Map 48","Dijkstra","210"
"Map 49","Dijkstra","227"
"Map 51","Dijkstra","231"
"Map 52","Dijkstra","217"
"Map 53","Dijkstra","213"
"Map 54","Dijkstra","223"
"Map 55","Dijkstra","225"
"Map 56","Dijkstra","223"
"Map 57","Dijkstra","226"
"Map 58","Dijkstra","265"
"Map 59","Dijkstra","231"
"Map 60","Dijkstra","224"
"Map 61","Dijkstra","224"
"Map 64","Dijkstra","213"
"Map 65","Dijkstra","220"
"Map 66","Dijkstra","223"
"Map 68","Dijkstra","240"
"Map 69","Dijkstra","222"
"Map 70","Dijkstra","217"
"Map 71","Dijkstra","241"
"Map 72","Dijkstra","242"
"Map 73","Dijkstra","219"
"Map 74","Dijkstra","215"
"Map 75","Dijkstra","237"
"Map 76","Dijkstra","222"
"Map 77","Dijkstra","225"
"Map 78","Dijkstra","225"
"Map 79","Dijkstra","207"
"Map 80","Dijkstra","220"
"Map 81","Dijkstra","224"
"Map 82","Dijkstra","228"
"Map 83","Dijkstra","223"
"Map 84","Dijkstra","224"
"Map 85","Dijkstra","223"
"Map 87","Dijkstra","221"
"Map 88","Dijkstra","230"
"Map 89","Dijkstra","217"
"Map 90","Dijkstra","223"
"Map 91","Dijkstra","238"
"Map 92","Dijkstra","222"
"Map 93","Dijkstra","222"
"Map 95","Dijkstra","226"
"Map 96","Dijkstra","213"
"Map 98","Dijkstra","228"
"Map 99","Dijkstra","230"
"Map 1","AStar","418"
"Map 2","AStar","793"
"Map 3","AStar","488"
"Map 4","AStar","393"
"Map 5","AStar","481"
"Map 6","AStar","490"
"Map 7","AStar","442"
"Map 8","AStar","396"
"Map 10","AStar","537"
"Map 12","AStar","486"
"Map 13","AStar","359"
"Map 14","AStar","600"
"Map 15","AStar","590"
"Map 17","AStar","573"
"Map 18","AStar","563"
"Map 19","AStar","446"
"Map 20","AStar","522"
"Map 22","AStar","524"
"Map 23","AStar","607"
"Map 24","AStar","578"
"Map 25","AStar","519"
"Map 26","AStar","575"
"Map 27","AStar","521"
"Map 28","AStar","410"
"Map 30","AStar","381"
"Map 31","AStar","591"
"Map 32","AStar","457"
"Map 33","AStar","537"
"Map 35","AStar","441"
"Map 36","AStar","536"
"Map 37","AStar","383"
"Map 38","AStar","686"
"Map 40","AStar","552"
"Map 42","AStar","590"
"Map 43","AStar","410"
"Map 44","AStar","597"
"Map 46","AStar","487"
"Map 47","AStar","570"
"Map 48","AStar","489"
"Map 49","AStar","645"
"Map 51","AStar","501"
"Map 52","AStar","553"
"Map 53","AStar","549"
"Map 54","AStar","476"
"Map 55","AStar","490"
"Map 56","AStar","515"
"Map 57","AStar","418"
"Map 58","AStar","485"
"Map 59","AStar","468"
"Map 60","AStar","448"
"Map 61","AStar","541"
"Map 64","AStar","430"
"Map 65","AStar","428"
"Map 66","AStar","521"
"Map 68","AStar","562"
"Map 69","AStar","503"
"Map 70","AStar","525"
"Map 71","AStar","485"
"Map 72","AStar","458"
"Map 73","AStar","549"
"Map 74","AStar","559"
"Map 75","AStar","563"
"Map 76","AStar","589"
"Map 77","AStar","560"
"Map 78","AStar","565"
"Map 79","AStar","422"
"Map 80","AStar","721"
"Map 81","AStar","565"
"Map 82","AStar","644"
"Map 83","AStar","467"
"Map 84","AStar","558"
"Map 85","AStar","541"
"Map 87","AStar","429"
"Map 88","AStar","502"
"Map 89","AStar","574"
"Map 90","AStar","445"
"Map 91","AStar","497"
"Map 92","AStar","506"
"Map 93","AStar","597"
"Map 95","AStar","579"
"Map 96","AStar","647"
"Map 98","AStar","552"
"Map 99","AStar","529"
"Map 1","AStarSmoothed","418"
"Map 2","AStarSmoothed","793"
"Map 3","AStarSmoothed","488"
"Map 4","AStarSmoothed","393"
"Map 5","AStarSmoothed","481"
"Map 6","AStarSmoothed","490"
"Map 7","AStarSmoothed","442"
"Map 8","AStarSmoothed","396"
"Map 10","AStarSmoothed","537"
"Map 12","AStarSmoothed","486"
"Map 13","AStarSmoothed","359"
"Map 14","AStarSmoothed","600"
"Map 15","AStarSmoothed","590"
"Map 17","AStarSmoothed","573"
"Map 18","AStarSmoothed","563"
"Map 19","AStarSmoothed","446"
"Map 20","AStarSmoothed","522"
"Map 22","AStarSmoothed","524"
"Map 23","AStarSmoothed","607"
"Map 24","AStarSmoothed","578"
"Map 25","AStarSmoothed","519"
"Map 26","AStarSmoothed","575"
"Map 27","AStarSmoothed","521"
"Map 28","AStarSmoothed","410"
"Map 30","AStarSmoothed","381"
"Map 31","AStarSmoothed","591"
"Map 32","AStarSmoothed","457"
"Map 33","AStarSmoothed","537"
"Map 35","AStarSmoothed","441"
"Map 36","AStarSmoothed","536"
"Map 37","AStarSmoothed","383"
"Map 38","AStarSmoothed","686"
"Map 40","AStarSmoothed","552"
"Map 42","AStarSmoothed","590"
"Map 43","AStarSmoothed","410"
"Map 44","AStarSmoothed","597"
"Map 46","AStarSmoothed","487"
"Map 47","AStarSmoothed","570"
"Map 48","AStarSmoothed","489"
"Map 49","AStarSmoothed","645"
"Map 51","AStarSmoothed","501"
"Map 52","AStarSmoothed","553"
"Map 53","AStarSmoothed","549"
"Map 54","AStarSmoothed","476"
"Map 55","AStarSmoothed","490"
"Map 56","AStarSmoothed","515"
"Map 57","AStarSmoothed","418"
"Map 58","AStarSmoothed","485"
"Map 59","AStarSmoothed","468"
"Map 60","AStarSmoothed","448"
"Map 61","AStarSmoothed","541"
"Map 64","AStarSmoothed","430"
"Map 65","AStarSmoothed","428"
"Map 66","AStarSmoothed","521"
"Map 68","AStarSmoothed","562"
"Map 69","AStarSmoothed","503"
"Map 70","AStarSmoothed","525"
"Map 71","AStarSmoothed","485"
"Map 72","AStarSmoothed","458"
"Map 73","AStarSmoothed","549"
"Map 74","AStarSmoothed","559"
"Map 75","AStarSmoothed","563"
"Map 76","AStarSmoothed","589"
"Map 77","AStarSmoothed","560"
"Map 78","AStarSmoothed","565"
"Map 79","AStarSmoothed","422"
"Map 80","AStarSmoothed","721"
"Map 81","AStarSmoothed","565"
"Map 82","AStarSmoothed","644"
"Map 83","AStarSmoothed","467"
"Map 84","AStarSmoothed","558"
"Map 85","AStarSmoothed","541"
"Map 87","AStarSmoothed","429"
"Map 88","AStarSmoothed","502"
"Map 89","AStarSmoothed","574"
"Map 90","AStarSmoothed","445"
"Map 91","AStarSmoothed","497"
"Map 92","AStarSmoothed","506"
"Map 93","AStarSmoothed","597"
"Map 95","AStarSmoothed","579"
"Map 96","AStarSmoothed","647"
"Map 98","AStarSmoothed","552"
"Map 99","AStarSmoothed","529"
"Map 1","ThetaStar","336"
"Map 2","ThetaStar","438"
"Map 3","ThetaStar","487"
"Map 4","ThetaStar","340"
"Map 5","ThetaStar","531"
"Map 6","ThetaStar","476"
"Map 7","ThetaStar","513"
"Map 8","ThetaStar","413"
"Map 10","ThetaStar","345"
"Map 12","ThetaStar","548"
"Map 13","ThetaStar","364"
"Map 14","ThetaStar","524"
"Map 15","ThetaStar","424"
"Map 17","ThetaStar","373"
"Map 18","ThetaStar","600"
"Map 19","ThetaStar","333"
"Map 20","ThetaStar","456"
"Map 22","ThetaStar","549"
"Map 23","ThetaStar","589"
"Map 24","ThetaStar","546"
"Map 25","ThetaStar","525"
"Map 26","ThetaStar","465"
"Map 27","ThetaStar","348"
"Map 28","ThetaStar","369"
"Map 30","ThetaStar","380"
"Map 31","ThetaStar","511"
"Map 32","ThetaStar","384"
"Map 33","ThetaStar","365"
"Map 35","ThetaStar","368"
"Map 36","ThetaStar","527"
"Map 37","ThetaStar","393"
"Map 38","ThetaStar","584"
"Map 40","ThetaStar","568"
"Map 42","ThetaStar","636"
"Map 43","ThetaStar","409"
"Map 44","ThetaStar","556"
"Map 46","ThetaStar","417"
"Map 47","ThetaStar","404"
"Map 48","ThetaStar","490"
"Map 49","ThetaStar","747"
"Map 51","ThetaStar","456"
"Map 52","ThetaStar","377"
"Map 53","ThetaStar","409"
"Map 54","ThetaStar","514"
"Map 55","ThetaStar","494"
"Map 56","ThetaStar","542"
"Map 57","ThetaStar","416"
"Map 58","ThetaStar","221"
"Map 59","ThetaStar","522"
"Map 60","ThetaStar","305"
"Map 61","ThetaStar","408"
"Map 64","ThetaStar","481"
"Map 65","ThetaStar","403"
"Map 66","ThetaStar","580"
"Map 68","ThetaStar","620"
"Map 69","ThetaStar","521"
"Map 70","ThetaStar","559"
"Map 71","ThetaStar","473"
"Map 72","ThetaStar","432"
"Map 73","ThetaStar","471"
"Map 74","ThetaStar","703"
"Map 75","ThetaStar","627"
"Map 76","ThetaStar","573"
"Map 77","ThetaStar","616"
"Map 78","ThetaStar","605"
"Map 79","ThetaStar","430"
"Map 80","ThetaStar","767"
"Map 81","ThetaStar","549"
"Map 82","ThetaStar","671"
"Map 83","ThetaStar","364"
"Map 84","ThetaStar","597"
"Map 85","ThetaStar","530"
"Map 87","ThetaStar","291"
"Map 88","ThetaStar","494"
"Map 89","ThetaStar","597"
"Map 90","ThetaStar","407"
"Map 91","ThetaStar","506"
"Map 92","ThetaStar","579"
"Map 93","ThetaStar","599"
"Map 95","ThetaStar","618"
"Map 96","ThetaStar","760"
"Map 98","ThetaStar","495"
"Map 99","ThetaStar","493"
"Map 1","LazyThetaStar","348"
"Map 2","LazyThetaStar","392"
"Map 3","LazyThetaStar","469"
"Map 4","LazyThetaStar","367"
"Map 5","LazyThetaStar","521"
"Map 6","LazyThetaStar","473"
"Map 7","LazyThetaStar","480"
"Map 8","LazyThetaStar","373"
"Map 10","LazyThetaStar","366"
"Map 12","LazyThetaStar","541"
"Map 13","LazyThetaStar","355"
"Map 14","LazyThetaStar","497"
"Map 15","LazyThetaStar","446"
"Map 17","LazyThetaStar","480"
"Map 18","LazyThetaStar","597"
"Map 19","LazyThetaStar","335"
"Map 20","LazyThetaStar","454"
"Map 22","LazyThetaStar","536"
"Map 23","LazyThetaStar","568"
"Map 24","LazyThetaStar","537"
"Map 25","LazyThetaStar","506"
"Map 26","LazyThetaStar","423"
"Map 27","LazyThetaStar","345"
"Map 28","LazyThetaStar","395"
"Map 30","LazyThetaStar","369"
"Map 31","LazyThetaStar","521"
"Map 32","LazyThetaStar","421"
"Map 33","LazyThetaStar","361"
"Map 35","LazyThetaStar","364"
"Map 36","LazyThetaStar","525"
"Map 37","LazyThetaStar","382"
"Map 38","LazyThetaStar","561"
"Map 40","LazyThetaStar","554"
"Map 42","LazyThetaStar","631"
"Map 43","LazyThetaStar","375"
"Map 44","LazyThetaStar","567"
"Map 46","LazyThetaStar","412"
"Map 47","LazyThetaStar","399"
"Map 48","LazyThetaStar","477"
"Map 49","LazyThetaStar","747"
"Map 51","LazyThetaStar","441"
"Map 52","LazyThetaStar","382"
"Map 53","LazyThetaStar","390"
"Map 54","LazyThetaStar","524"
"Map 55","LazyThetaStar","482"
"Map 56","LazyThetaStar","518"
"Map 57","LazyThetaStar","394"
"Map 58","LazyThetaStar","296"
"Map 59","LazyThetaStar","518"
"Map 60","LazyThetaStar","301"
"Map 61","LazyThetaStar","444"
"Map 64","LazyThetaStar","473"
"Map 65","LazyThetaStar","398"
"Map 66","LazyThetaStar","576"
"Map 68","LazyThetaStar","606"
"Map 69","LazyThetaStar","514"
"Map 70","LazyThetaStar","560"
"Map 71","LazyThetaStar","469"
"Map 72","LazyThetaStar","433"
"Map 73","LazyThetaStar","503"
"Map 74","LazyThetaStar","681"
"Map 75","LazyThetaStar","615"
"Map 76","LazyThetaStar","563"
"Map 77","LazyThetaStar","600"
"Map 78","LazyThetaStar","583"
"Map 79","LazyThetaStar","421"
"Map 80","LazyThetaStar","758"
"Map 81","LazyThetaStar","553"
"Map 82","LazyThetaStar","617"
"Map 83","LazyThetaStar","396"
"Map 84","LazyThetaStar","578"
"Map 85","LazyThetaStar","522"
"Map 87","LazyThetaStar","292"
"Map 88","LazyThetaStar","415"
"Map 89","LazyThetaStar","589"
"Map 90","LazyThetaStar","422"
"Map 91","LazyThetaStar","478"
"Map 92","LazyThetaStar","573"
"Map 93","LazyThetaStar","599"
"Map 95","LazyThetaStar","590"
"Map 96","LazyThetaStar","745"
"Map 98","LazyThetaStar","462"
"Map 99","LazyThetaStar","493"
"Map 1","BlockAStar","152"
"Map 2","BlockAStar","157"
"Map 3","BlockAStar","198"
"Map 4","BlockAStar","156"
"Map 5","BlockAStar","208"
"Map 6","BlockAStar","182"
"Map 7","BlockAStar","186"
"Map 8","BlockAStar","146"
"Map 10","BlockAStar","179"
"Map 12","BlockAStar","218"
"Map 13","BlockAStar","152"
"Map 14","BlockAStar","236"
"Map 15","BlockAStar","197"
"Map 17","BlockAStar","173"
"Map 18","BlockAStar","233"
"Map 19","BlockAStar","158"
"Map 20","BlockAStar","199"
"Map 22","BlockAStar","216"
"Map 23","BlockAStar","201"
"Map 24","BlockAStar","215"
"Map 25","BlockAStar","189"
"Map 26","BlockAStar","183"
"Map 27","BlockAStar","149"
"Map 28","BlockAStar","152"
"Map 30","BlockAStar","155"
"Map 31","BlockAStar","190"
"Map 32","BlockAStar","176"
"Map 33","BlockAStar","155"
"Map 35","BlockAStar","164"
"Map 36","BlockAStar","205"
"Map 37","BlockAStar","146"
"Map 38","BlockAStar","193"
"Map 40","BlockAStar","227"
"Map 42","BlockAStar","233"
"Map 43","BlockAStar","156"
"Map 44","BlockAStar","199"
"Map 46","BlockAStar","170"
"Map 47","BlockAStar","163"
"Map 48","BlockAStar","205"
"Map 49","BlockAStar","262"
"Map 51","BlockAStar","161"
"Map 52","BlockAStar","183"
"Map 53","BlockAStar","173"
"Map 54","BlockAStar","171"
"Map 55","BlockAStar","181"
"Map 56","BlockAStar","217"
"Map 57","BlockAStar","168"
"Map 58","BlockAStar","169"
"Map 59","BlockAStar","187"
"Map 60","BlockAStar","160"
"Map 61","BlockAStar","188"
"Map 64","BlockAStar","179"
"Map 65","BlockAStar","158"
"Map 66","BlockAStar","208"
"Map 68","BlockAStar","226"
"Map 69","BlockAStar","205"
"Map 70","BlockAStar","224"
"Map 71","BlockAStar","186"
"Map 72","BlockAStar","159"
"Map 73","BlockAStar","218"
"Map 74","BlockAStar","260"
"Map 75","BlockAStar","250"
"Map 76","BlockAStar","219"
"Map 77","BlockAStar","232"
"Map 78","BlockAStar","222"
"Map 79","BlockAStar","165"
"Map 80","BlockAStar","251"
"Map 81","BlockAStar","193"
"Map 82","BlockAStar","206"
"Map 83","BlockAStar","166"
"Map 84","BlockAStar","217"
"Map 85","BlockAStar","216"
"Map 87","BlockAStar","158"
"Map 88","BlockAStar","184"
"Map 89","BlockAStar","225"
"Map 90","BlockAStar","174"
"Map 91","BlockAStar","182"
"Map 92","BlockAStar","187"
"Map 93","BlockAStar","205"
"Map 95","BlockAStar","204"
"Map 96","BlockAStar","254"
"Map 98","BlockAStar","188"
"Map 99","BlockAStar","200"